id,form,type,translation_lexeme,analysis,translation
56.1,vanAH,word,forests,MW.vanA.185717 Voc.M.P,O one who is the forests[RV; SR: vanya]
57.1,raRa,word,Roarer,DHATU.raRa~. KRT.ac Voc.M.S,O Roarer[√रण् अच्]
58.1,BaRa,word,Roarer,DHATU.BaRa~. KRT.ac Voc.M.S,O Roarer[√भण् अच्]
59.1,aka,word,wander,DHATU.aka~. KRT.ac Voc.M.S,O Wanderer[√अक् अच्]
60.1,anDaH,word,Soma juice,MW.anDas.8465 Nom.N.S,Soma juice[RV]
61.1,rava,word,Roaring,DHATU.ru. KRT.ac Voc.M.S,O Roaring[√रु अच्] Consumer[√जॄ अच्]
61.1,jara,word,Consumer,DHATU.jF.Bhvadi KRT.ac Voc.M.S,O Roaring[√रु अच्] Consumer[√जॄ अच्]
64.1,dama,word,men,MW.dama.90249 Voc.M.S,"O who is Restrained[ŚBr], Kind to men[RV], Destroyer[√नश्], Roarer[Nir]"
64.1,Anava,word,to men,MW.Anava.24487 Voc.M.S,"O who is Restrained[ŚBr], Kind to men[RV], Destroyer[√नश्], Roarer[Nir]"
64.1,nASa,word,men,MW.nASa.106197 Voc.M.S,"O who is Restrained[ŚBr], Kind to men[RV], Destroyer[√नश्], Roarer[Nir]"
64.1,nadana,word,sounding,MW.nadana.103323 Voc.M.S,"O who is Restrained[ŚBr], Kind to men[RV], Destroyer[√नश्], Roarer[Nir]"
65.1,ama,stem,Powerful,MW.ama.13749,O Powerful[RV] killer[RV]
65.1,han,word,killer,MW.han.260418 Voc.M.S,O Powerful[RV] killer[RV]
66.1,damam,stem,self-control,MW.dama.90251 CMP,O one possessing[MBh] self-control[ŚBr]
66.1,Dara,word,possessing,MW.Dara.99749 Voc.M.S,O one possessing[MBh] self-control[ŚBr]
67.1,kam,word,excellent,MW.kam.43756.1 Nom.M.S,O excellent[RV] Killer[RV]
67.1,Ahan,word,Slayer,DHATU.A-hana~. KRT.kvip Voc.M.S,O excellent[RV] Killer[RV]
68.1,dahana,word,firey,MW.dahana.91168 Voc.M.S,O fiery[MBh] respected one[MBh]
68.1,mAna,word,respected,MW.mAna.162722 Voc.M.S,O fiery[MBh] respected one[MBh]
69.1,rava,word,Roaring,DHATU.ru. KRT.ac Voc.M.S,O Roaring[√रु अच्] Mighty one[Nir]
69.1,sahana,word,Mighty,MW.sahana.239999 Voc.M.S,O Roaring[√रु अच्] Mighty one[Nir]
70.1,ama,stem,Powerful,MW.ama.13749,O Powerful[RV] honored[MBh] Presider[√आस्]
70.1,mAnya,word,honored,MW.mAnya.162827 Voc.M.S,O Powerful[RV] honored[MBh] Presider[√आस्]
70.1,ASa,word,eater,MW.ASa.27355 Voc.M.S,O Powerful[RV] honored[MBh] Eater[ŚBr]
71.1,rava,word,Roaring,DHATU.ru. KRT.ac Voc.M.S,O Roaring[√रु अच्] benevolent[RV] spirit[MBh]
71.1,Amana,stem,Sickness,MW.Amana.25439,O Roaring[√रु अच्] benevolent[RV] spirit[MBh]
71.1,mAnasa,word,spirit,MW.mAnasa.162924 Voc.M.S,O Roaring[√रु अच्] benevolent[RV] spirit[MBh]
72.1,Ahanana,word,killing,MW.Ahanana.28306 Voc.M.S,"O Killer[AV], O food[RV] ravisher[RV], O Presider[√आस्][annāda]"
72.1,ASa,stem,food,MW.ASa.27354,"O Killer[AV], O food[RV] ravisher[RV], O Presider[√आस्][annāda]"
72.1,hara,word,bringer,MW.hara.260675 Voc.M.S,"O Killer[AV], O food[RV] ravisher[RV], O Presider[√आस्][annāda]"
72.1,ASa,word,eater,MW.ASa.27853 Voc.M.S,"O Killer[AV], O food[RV] bringer[RV], O eater[ŚBr][annāda]"
73.1,anna,stem,food,MW.anna.8479,O food[RV] oblation[RV] eater[ŚBr]
73.1,dAna,word,oblation,MW.dAna.91248 Voc.M.S,O food[RV] oblation[RV] eater[ŚBr]
73.1,ASa,word,eater,MW.ASa.27355 Voc.M.S,O food[RV] oblation[RV] eater[ŚBr]
75.1,rasa,stem,draught,MW.rasa.175489,Draught(Soma)[R] saluting[RV]
75.1,namana,word,salutations,MW.namana.103839 Voc.M.S,Roarer[VarBṛS] salutations[RV]
76.1,rava,stem,roar,MW.rava.175305,"O roarer[RV, Pañcat]"
76.1,da,word,giver,MW.da.89220 Voc.M.S,"O roarer[RV, Pañcat]"
77.1,mAnya,word,honoured,MW.mAnya.162827 Voc.M.S,Honored[MBh]
