sign,xlit,canonical,regex
520,n,520,
521,t,415,
525,m,527,
526,m,527,
527,m,527,
528,k,645,
530,as,550,
531,as,550,
532,asi,400-550,
533,asas,550-550,
534,as,550,
535,as,550,
540,d,540,
541,as,550,
542,d,540,
543,d,540,
544,d,540,
545,d,540-540,
546,da,503-540,
547,m,240,
550,as,550,
551,as,550,
552,asaas,551-551,
554,as,550,
555,as,550,
556,as,550,
560,as,550,
561,as,550,
562,nasan,012-550-012,
563,as,550,
564,as,550,
565,asi,400-550,
570,mar,390-322,
571,mi,400-322,
572,b,585,
573,aba,585-900,
575,m,322,
576,b,585,
577,samas,577,
578,m,575,
579,m,575,
585,b,585,
586,bab,585-585,
590,v,590,
591,ava,031-590-031,
592,navana,012-590-012,
593,asva,590-550,
595,v,590,
596,vav,590-590,
597,ava,001-590-001,
599,j,033,
600,a,031,
601,m,621,
602,a,031,
603,a,031,
604,a,031,
605,n,368,
606,b,625,
610,n,368,
611,k,611,
615,n,615,
616,an,615-031,
617,nan,615-615,
620,s,032,
621,m,621,
622,m,621,
623,maan,700-621,
625,b,625,
626,r,861,
627,ra,031-861,
628,raj,055-861,
629,tat,630-630,
630,t,630,
631,t,630,
632,t,630,
633,t,630,
634,t,630,
635,t,630,
636,t,630,
637,t,630,
638,t,630,
639,t,630,
640,t,630,
641,t,630,
642,t,630,
643,t,630,
645,k,645,
646,s,684,
647,s,684,
678,ak,645-900,
679,ak,645-900,
680,saksa,014-645-014,
681,asa,684-900,
682,asa,684-900,
683,s,684,
684,s,684,
685,k,645,
686,ki,400-645,
687,ak,645-900,
688,aka,900-645-900,
689,saksa,014-645-014,
690,k,645,
692,k,645,
693,kar,390-645,
694,dak,645-463,
697,ananan,700-700-700,
698,anan,700-700,
699,anan,705-705,
700,an,700,
701,aan,705-900,
702,an,700,
703,an,700,
704,an,705,
705,an,705,
706,an,705,
707,an,705,
708,m,092,
709,m,092,
710,m,092,
711,r,759,
712,r,759,
713,anna,368-700,
714,anna,368-700,
715,d,717,
716,d,717,
717,d,717,
718,d,717,
719,ad,717-900,
720,d,717,
721,d,717,
722,an,717,
723,r,760,
725,m,093,
727,m,093,
728,m,093,
729,am,093-900,
731,ana,700-900,
732,an,700,
733,an,705,
734,an,700,
735,an,705,
736,an,705,
740,an,740,
741,an,740,
742,an,740,
743,an,740,
744,an,740,
745,an,740,
746,an,740,
747,an,740,
748,an,740,
749,isan,740-016-400-400,
750,an,740,
751,antara,820-415-740,
752,r,760,
753,r,760,
759,r,760,
760,r,760,
761,r,760,
762,r,760,
763,r,760,
764,ar,760-001,
765,ra,031-760,
766,car,760-350,
767,tar,760-374,
768,rakta,374-371-760,
770,tar,760-415,
772,tar,760-415,
773,tar,760-415,
775,r,760,
776,r,760,
777,ras,550-760,
778,ras,550-760,
780,ar,760-001,
781,r,760,
782,ras,550-760,
783,r,760,
784,r,760,
785,r,760,
786,r,760,
790,r,820,
791,d,540,
792,tat,808-808,
793,ara,900-790-900,
794,u,794,
795,r,790,
796,par,790-440,
797,as,550,
798,as,550,
799,asaas,550-550,
801,as,550,
803,s,803,
804,nasan,012-803-012,
805,s,803,
806,s,803,
807,nasan,012-803-012,
808,t,808,
809,t,808,
810,t,808,
811,mar,790-070,
812,t,808,
813,t,808,
814,t,808,
815,t,808,
816,t,808,
817,r,861,
818,r,820,
820,r,820,
821,rar,820-820,
822,saras,032-820-032,
823,r,820,
824,r,820,
825,r,820,
826,r,861,
827,t,808,
828,t,808,
829,s,803,
830,t,808,
831,s,803,
832,t,808,
833,s,803,
834,t,808,
835,t,808,
836,t,808,
837,t,808,
838,s,803,
839,r,820,
840,d,840,
841,di,400-840,
842,nadan,012-840-012,
843,sadas,032-840-032,
844,d,840,
845,d,840,
849,r,861,
850,r,861,
851,r,861,
852,r,861,
853,u,794,
854,naran,012-861-012,
855,saras,032-861-032,
856,t,808,
857,t,808,
858,rak,611-861,
859,r,861,
860,r,861,
861,r,861,
862,ri,400-861,
863,r,861,
864,iri,400-861-400,
865,r,861,
866,iri,400-861-400,
868,r,861,
869,r,861,
870,naran,012-861-012,
871,r,861,
872,ri,400-861,
874,ri,400-861,
875,r,861,
876,r,861,
877,r,861,
878,naran,012-861-012,
879,r,861,
880,r,861,
890,d,892,
891,d,892,
892,d,892,
893,dad,892-892,
894,as,204,
895,sadas,014-892-014,
896,d,892,
897,d,892,
898,d,892,
899,a,900,
900,a,900,
901,a,900,
902,n,368,
903,a,900,
904,a,900,
905,n,368,
906,j,906,
907,jas,016-906,
908,p,035,
909,y,215,
910,nasan,012-204-012,
911,y,215,
912,nasan,012-204-012,
913,t,803,
914,c,034,
918,dadad,920-920-920,
919,dad,920-920,
920,d,920,
921,d,920,
922,d,920,
923,a,900,
924,a,900,
925,a,927,
926,saat,013-927-014,
927,a,927,
928,n,368,
930,aarava,002-820-900,
931,ap,015-900,
932,am,322-900,
933,as,550,
940,atma,900-220-260-900,
941,amata,900-260-220-900,
942,amata,900-260-220-900,
943,amata,900-260-220-900,
944,namam,012-220-322-012,
945,narasan,012-032-820-012,
946,naktan,012-808-371-012,
947,arkara,927-645-820-927,
950,k,470,
951,,140,
952,tar,820-260,
953,s,176,
956,r,390,
957,mah,176-527,
958,san,368-684,
