id,word,seal_id,code,modifier,pratyaya,kartari,gender,vacana,purusha,vibhakti,comment
120,aYja,*,7.0021,krt,ac,,1,1,,8,
121,aYjan,*,7.0021,krt,Satr,,1,1,,8,
122,aYjasam,*,MW:aYjas,sup,,,3,1,,2,
123,azwama,*,MW:azwama,,,,,,,,
124,Ba,*,MW:Ba,,,,,,,,
125,bARa,*,MW:bARa,,,,,,,,
126,Baya,*,MW:Baya,,,,,,,,
127,Bara,*,MW:Bara,,,,,,,,
128,BARa,*,MW:BARa,,,,,,,,
129,Basa,*,MW:Basa,,,,,,,,
130,BAsa,*,MW:BAsa,,,,,,,,
131,Basma,*,MW:Basma,,,,,,,,
132,Bava,*,MW:Bava,sup,,,1,1,,8,
133,Cada,*,MW:Cada,,,,,,,,
134,cala,*,MW:cala,,,,,,,,
135,cali,*,MW:cali,,,,,,,,
136,da,*,MW:da,,,,,,,,
137,dA,*,MW:dA,,,,,,,,
138,DA,*,MW:DA,,,,,,,,
139,dada,*,MW:dada,,,,,,,,
140,daDa,*,MW:daDa,,,,,,,,
141,dAda,*,MW:dAda,,,,,,,,
142,daha,*,MW:daha,,,,,,,,
143,dAha,*,MW:dAha,,,,,,,,
144,dahana,*,MW:dahana,,,,,,,,
145,dahavat,*,MW:dahavat,,,,,,,,
146,dala,*,MW:dala,,,,,,,,
147,dalat,*,MW:dalat,,,,,,,,
148,dama,*,MW:dama,,,,,,,,
149,dAma,*,MW:dAma,,,,,,,,
150,damana,*,MW:damana,,,,,,,,
151,dAna,*,MW:dAna,,,,,,,,
152,Dana,*,MW:Dana,,,,,,,,
153,Dan,*,MW:Dan,,,,,,,,
154,DA,2716.1,MW:Dan,sup,,,1,1,,8,
155,DA,5524.1,MW:Dan,sup,,,1,1,,8,
156,Danva,*,MW:Danva,,,,,,,,
157,Danvacara,*,MW:Danvacara,,,,,,,,
158,dara,*,MW:dara,,,,,,,,
159,DAra,*,MW:DAra,,,,,,,,
160,DAraRa,*,MW:DAraRa,,,,,,,,
161,DAravat,*,MW:DAravat,,,,,,,,
162,dasa,*,MW:dasa,,,,,,,,
163,daSa,*,MW:daSa,,,,,,,,
164,datta,*,MW:datta,,,,,,,,
165,dava,*,MW:dava,,,,,,,,
166,dAva,*,MW:dAva,,,,,,,,
167,daya,*,MW:daya,,,,,,,,
168,DI,*,MW:DI,,,,,,,,
169,ejat,*,MW:ejat,,,,,,,,
170,fta,*,MW:fta,,,,,,,,
171,gadA,*,MW:gadA,,,,,,,,
172,Gana,*,MW:Gana,,,,,,,,
173,hana,*,MW:hana,,,,,,,,
174,hAna,*,MW:hAna,,,,,,,,
175,hara,*,MW:hara,,,,,,,,
176,haraRa,*,MW:haraRa,,,,,,,,
177,harAt,*,MW:harAt,,,,,,,,
178,hata,*,MW:hata,,,,,,,,
179,hataM,*,MW:hataM,,,,,,,,
180,havana,*,MW:havana,,,,,,,,
181,haWa,*,MW:haWa,,,,,,,,
182,haya,*,MW:haya,,,,,,,,
183,idDa,*,MW:idDa,,,,,,,,
184,Irya,*,MW:Irya,,,,,,,,
185,ja,*,MW:ja,,,,,,,,
186,jaBa,*,MW:jaBa,,,,,,,,
187,jajjavat,*,MW:jajjavat,,,,,,,,
188,jama,*,MW:jama,,,,,,,,
189,jAma,*,MW:jAma,,,,,,,,
190,jana,*,MW:jana,,,,,,,,
191,jAna,*,MW:jAna,,,,,,,,
192,janma,*,MW:janma,,,,,,,,
193,jaqa,*,MW:jaqa,,,,,,,,
194,jara,*,MW:jara,,,,,,,,
195,jarA,*,MW:jarA,,,,,,,,
196,jArA,*,MW:jArA,,,,,,,,
197,jasa,*,MW:jasa,,,,,,,,
198,jAsa,*,MW:jAsa,,,,,,,,
199,java,*,MW:java,,,,,,,,
200,jawa,*,MW:jawa,,,,,,,,
201,jaWala,*,MW:jaWala,,,,,,,,
202,jaya,*,MW:jaya,,,,,,,,
203,jaza,*,MW:jaza,,,,,,,,
204,jU,*,MW:jU,,,,,,,,
205,kA,*,MW:kA,,,,,,,,
206,Ka,*,MW:Ka,,,,,,,,
207,kada,*,MW:kada,,,,,,,,
208,kam,*,MW:kam,,,,,,,,
209,kamala,*,MW:kamala,,,,,,,,
210,kaMsa,*,MW:kaMsa,,,,,,,,
211,kAna,*,MW:kAna,,,,,,,,
212,kara,*,MW:kara,,,,,,,,
213,kavya,*,MW:kavya,,,,,,,,
214,lava,*,MW:lava,,,,,,,,
215,mada,*,MW:mada,,,,,,,,
216,madana,*,MW:madana,,,,,,,,
217,madra,*,MW:madra,,,,,,,,
218,maDu,*,MW:maDu,,,,,,,,
219,maha,*,MW:maha,,,,,,,,
220,mahar,*,MW:mahar,,,,,,,,
221,mahas,*,MW:mahas,,,,,,,,
222,mahat,*,MW:mahat,,,,,,,,
223,maja,*,MW:maja,,,,,,,,
224,majja,*,MW:majja,,,,,,,,
225,mAKa,*,MW:mAKa,,,,,,,,
226,mAKam,*,MW:mAKa,sup,,,3,1,,2,
227,malAMSa,*,MW:malAMSa,,,,,,,,
228,malla,*,MW:malla,,,,,,,,
229,mAMsaja,*,MW:mAMsaja,,,,,,,,
230,mana,*,MW:mana,,,,,,,,
231,mAna,*,MW:mAna,,,,,,,,
232,mAnana,*,MW:mAnana,,,,,,,,
233,mAnasa,*,MW:mAnasa,,,,,,,,
234,manAva,*,MW:manAva,,,,,,,,
235,mAndA,*,MW:mAndA,,,,,,,,
236,mandra,*,MW:mandra,,,,,,,,
237,manTa,*,MW:manTa,,,,,,,,
238,mAnya,*,MW:mAnya,,,,,,,,
239,mara,*,MW:mara,,,,,,,,
240,maraRa,*,MW:maraRa,,,,,,,,
241,mAsa,*,MW:mAsa,,,,,,,,
242,masta,*,MW:masta,,,,,,,,
243,mata,*,MW:mata,,,,,,,,
244,maTa,*,MW:maTa,,,,,,,,
245,matavacas,*,MW:matavacas,,,,,,,,
246,matta,*,MW:matta,,,,,,,,
247,mava,*,MW:mava,,,,,,,,
248,maYja,*,MW:maYja,,,,,,,,
249,mAYja,*,MW:mAYja,,,,,,,,
250,nada,*,MW:nada,,,,,,,,
251,nama,*,MW:nama,,,,,,,,
252,nAma,*,MW:nAma,,,,,,,,
253,namaH,*,MW:namaH,,,,,,,,
254,nAman,*,MW:nAman,,,,,,,,
255,nAmana,*,MW:nAmana,,,,,,,,
256,nana,*,MW:nana,,,,,,,,
257,nanda,*,MW:nanda,,,,,,,,
258,nanu,*,MW:nanu,,,,,,,,
259,nara,*,MW:nara,,,,,,,,
260,naSa,*,MW:naSa,,,,,,,,
261,nASa,*,MW:nASa,,,,,,,,
262,naSaM,*,MW:naSaM,,,,,,,,
263,naSvara,*,MW:naSvara,,,,,,,,
264,nat,*,MW:nat,,,,,,,,
265,nAv,*,MW:nAv,,,,,,,,
266,nava,*,MW:nava,,,,,,,,
267,navatama,*,MW:navatama,,,,,,,,
268,ni,*,MW:ni,,,,,,,,
269,ota,*,MW:ota,,,,,,,,
270,pada,*,MW:pada,,,,,,,,
271,paMsana,*,MW:paMsana,,,,,,,,
272,pAn,*,2.0051,krt,Satr,,1,1,,8,
273,pAna,*,MW:pAna,,,,,,,,
274,para,*,MW:para,,,,,,,,
275,pAra,*,MW:pAra,,,,,,,,
276,pASa,*,MW:pASa,,,,,,,,
277,paTa,*,MW:paTa,,,,,,,,
278,paya,*,MW:paya,,,,,,,,
279,raca,*,MW:raca,,,,,,,,
280,rada,*,MW:rada,,,,,,,,
281,raDa,*,MW:raDa,,,,,,,,
282,radDa,*,MW:radDa,,,,,,,,
283,rAdDa,*,MW:rAdDa,,,,,,,,
284,raha,*,MW:raha,,,,,,,,
285,rahasa,*,MW:rahasa,,,,,,,,
286,raja,*,MW:raja,,,,,,,,
287,raka,*,MW:raka,,,,,,,,
288,rala,*,MW:rala,,,,,,,,
289,rama,*,MW:rama,,,,,,,,
290,ramA,*,MW:ramA,,,,,,,,
291,rAma,*,MW:rAma,,,,,,,,
292,ramaRa,*,MW:ramaRa,,,,,,,,
293,raPa,*,MW:raPa,,,,,,,,
294,raRa,*,1.0513,krt,ac,,1,1,,8,
295,raRan,*,1.0513,krt,Satr,,1,1,,8,
296,raRaka,*,1.0513,krt,vun,,1,1,,8,
297,raRA,*,MW:raRA,,,,,,,,
298,rARa,*,MW:rARa,,,,,,,,
299,rasa,*,MW:rasa,,,,,,,,
300,rasada,*,MW:rasada,,,,,,,,
301,aham,*,MW:aham,,,,,,,,
302,rasAla,*,MW:rasAla,,,,,,,,
303,rasana,*,MW:rasana,,,,,,,,
304,rata,*,MW:rata,,,,,,,,
305,raTa,*,MW:raTa,,,,,,,,
306,rAta,*,MW:rAta,,,,,,,,
307,rava,*,MW:rava,,,,,,,,
308,ravamARa,*,MW:ravamARa,,,,,,,,
309,ravamat,*,MW:ravamat,,,,,,,,
310,ravas,*,MW:ravas,,,,,,,,
311,ravasa,*,MW:ravasa,,,,,,,,
312,ravasam,*,MW:ravasam,,,,,,,,
